id,armed_with,city,county,state,age,gender,race,body_camera,age_range,year
430,knife,South El Monte,Los Angeles,CA,32.0,male,A,False,26-34,2015
434,gun,Pulaski,Pulaski,VA,46.0,male,W,False,35-54,2015
432,gun,Wake Forest,Wake,NC,18.0,male,W,False,0-18,2015
433,knife,Lawrenceville,Gwinnett,GA,72.0,male,,False,65+,2015
435,knife,Beacon,Dutchess,NY,38.0,male,W,False,35-54,2015
436,,Cerritos,Los Angeles,CA,21.0,male,B,False,19-25,2015
439,knife,Kearny,Pinal,AZ,35.0,male,W,False,35-54,2015
443,gun,Constantia,Oswego,NY,58.0,male,W,False,55-64,2015
451,gun,Harvey,Jefferson,LA,48.0,male,B,False,35-54,2015
454,,Fridley,Anoka,MN,31.0,male,B,False,26-34,2015
453,gun,Tacoma,Pierce,WA,47.0,male,W,False,35-54,2015
455,,Landover,Prince George's,MD,34.0,male,B,False,26-34,2015
437,,Fort Worth,Tarrant,TX,30.0,male,B,False,26-34,2015
444,knife,St. Augustine,St. Johns,FL,28.0,male,W,False,26-34,2015
441,gun,Jacksonville,Duval,FL,28.0,male,B,False,26-34,2015
449,gun,Honolulu,Honolulu,HI,46.0,male,A,False,35-54,2015
450,knife,Rancho Santa Margarita,Orange,CA,40.0,male,W,False,35-54,2015
456,gun,Portage,Kalamazoo,MI,37.0,male,W,False,35-54,2015
470,gun,St. Augustine,St. Johns,FL,53.0,male,W,False,35-54,2015
460,gun,Rockford,Winnebago,IL,41.0,male,W,False,35-54,2015
462,replica,Sacramento,Sacramento,CA,42.0,male,W,False,35-54,2015
463,gun,Harvey,Cook,IL,45.0,male,B,False,35-54,2015
458,gun,San Diego,San Diego,CA,34.0,male,W,True,26-34,2015
459,gun,St. Petersburg,Pinellas,FL,18.0,male,W,False,0-18,2015
461,knife,Ruidoso,Lincoln,NM,27.0,male,W,False,26-34,2015
457,unarmed,Arlington,Arlington,VA,54.0,male,H,False,35-54,2015
464,gun,Cabot,Lonoke,AR,35.0,male,W,False,35-54,2015
465,gun,Grand Junction,Mesa,CO,17.0,male,W,False,0-18,2015
466,gun,Lancaster,Lancaster,PA,29.0,male,B,False,26-34,2015
467,knife,Green,Summit,OH,52.0,male,W,False,35-54,2015
468,gun,Owensboro,Daviess,KY,38.0,male,B,False,35-54,2015
486,knife,Gillette,Campbell,WY,39.0,female,W,False,35-54,2015
489,gun,Omaha,Douglas,NE,26.0,male,B,False,26-34,2015
469,gun,El Paso,El Paso,TX,22.0,male,H,False,19-25,2015
483,knife,Ft. Lauderdale,Broward,FL,29.0,male,B,False,26-34,2015
484,knife,North Charleston,Charleston,SC,43.0,male,W,False,35-54,2015
485,knife,Hackensack,Bergen,NJ,24.0,male,H,False,19-25,2015
487,gun,Charleston,Charleston,SC,32.0,male,B,False,26-34,2015
472,replica,Somerset,Somerset,PA,40.0,male,W,False,35-54,2015
473,gun,Sedalia,Johnson,MO,47.0,male,W,False,35-54,2015
474,gun,Eagar,Apache,AZ,40.0,male,W,False,35-54,2015
529,gun,Detroit,Wayne,MI,25.0,male,B,False,19-25,2015
